Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Computers Peripherals,Desktops,PC CPU,,,,,,,
Communication,Calculators,Electronic Reference,,,,,,,
Computers Peripherals,Monitors,Monitors - CRT,,,,,,,
Entertainment,TV CRT,"CRT FLAT - 14""",,,,,,,
Communication,Smart Phones (OS Based),Android Phones D,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Premium,,,,,,,
Computers Peripherals,Mobile Computing,Touch,,,,,,,
Communication,Brand Free Mobiles,Brand Free Mobiles,,,,,,,
Communication,Smart Phones (OS Based),I phones,,,,,,,
Entertainment,TV LCD,"LED Panels 22""",,,,,,,
Entertainment,TV LCD,"LED Panels 26""",,,,,,,
Communication,Phones Mobile,Apple I-Phone,,,,,,,
Entertainment,TV LCD,"LCD TFT 24""",,,,,,,
Communication,Smart Phones (OS Based),ExWty - Smart Phones,,,,,,,
Communication,Phones Mobile,ExWty - Basic Mobile Phones,,,,,,,
Entertainment,TV LCD,ExWty- TV LCD,,,,,,,
Imaging,Digital Cameras,ExWty- Digital Cameras,,,,,,,
Computers Peripherals,Desktops,ExWty- Desktops,,,,,,,
Computers Peripherals,Mobile Computing,ExWty- Mobile Computing,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Mid,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Entry,,,,,,,
Communication,Smart Phones (OS Based),Other OS,,,,,,,
Imaging,DSLR Cameras,DSLR High End,,,,,,,
Entertainment,TV LCD,LED Panels 24 INCH,,,,,,,
Communication,Smart Phones (OS Based),Demo Mobile Phone,,,,,,,
Imaging,DSLR Cameras,DSLR Entry Level,,,,,,,
Imaging,Digital Cameras,PL Cameras,,,,,,,
Computers Peripherals,Mobile Computing,Entry Level Laptops,,,,,,,
Computers Peripherals,Mobile Computing,Premium,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Premium Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Gaming Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin,,,,,,,
Communication,Phones Mobile,Dual Sim Phones D,,,,,,,
Entertainment,TV LCD,"LED Panels 65""+",,,,,,,
Computers Peripherals,Mobile Computing,2-in-1,,,,,,,
Computers Peripherals,Tablets & Detachables,Detachables,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream,,,,,,,
Computers Peripherals,Mobile Computing,2 in 1 Consignment,,,,,,,
Computers Peripherals,Desktops,Dell Desktop SNS,,,,,,,
Communication,Smart Phones (OS Based),Other OS D,,,,,,,
Computers Peripherals,Gaming Laptops,Entry Gaming,,,,,,,
Computers Peripherals,Monitors,"Monitors - 22""",,,,,,,
Computers Peripherals,Monitors,"Monitors - 24""",,,,,,,
Computers Peripherals,Monitors,Gaming Monitors,,,,,,,
Computers Peripherals,Monitors,"Monitors - 27"" & Above",,,,,,,
Computers Peripherals,Tablets & Detachables,iPad Accessories,,,,,,,
