Parent Category Name(L1),Category Name (L2),Sub Category Name (L3),SubSubCategoryName (L4),Sub Category Name (L5),Sub Category Name (L6),BB Category File,Item detail,Compatible SKU Node,Compatible SKU Node Brand,Compatible SKU Node Model,Part Number,Serial Number 1,Serial Number 2,Capacity,Power Rating,Power (Watts),Number of Blades,Length of Blades,Color,Resolution in Mega Pixel,Optical Zoom,Number of speakers,"Connectivity Compatibility (Internet, Bluetooth, USB)",Storage (in GB),HDD (in GB),SSD (in GB),RAM (in GB),Resolution in (AXB),Back Camera Resolution (in MP),Front Camera Resolution (in MP),Music Playback time,Processor (IT),Processor (Mobile & Tablet),OS,OS Sticker,Screen Size (in Inches),Age Group,Type of Fabric,Fitting Apparel,Pattern Apparel,Size,Sleeve,Weight,Volume or Capacity (in ml),Power output (in watts) Speaker,Sound output Range (in Hz) Speaker,Type Television,Blower function,Suction Power (in watts),Type of Washing Machine Function,Type of Wshing Machine Load,Type of Washing Machine Washing,Washing System,Flavour,Functions Printer,Device chipset projector,Distance (in mtrs) Projector,Lamp life (in hours) Projector,Maximum Brightness (in lm) Projector,Resolution,Back up (in mins) UPS,Battery UPS,Type of cooking Microwave,Number of doors (Refrigerator),Type of Sandwitch,Capacity (in number),Type of technology Water Purifier,Fragarance,Material,Size Furniture,Number of Jars,Expiry Date,Number of HDD
Electronics and Appliances,Mobiles and Tablets,Tablets,,,,default,,,,,,1,1,,,,,,11,,,,,11,,,11,11,11,11,,,11,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Accessories,Others,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Cameras,Others,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Audio,Others,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Others,,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Activity Tracker,,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Digital Watch,,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Electric Shaver,,,,default,,,,,,1,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Electric Trimmer,,,,default,,,,,,1,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Epilators,,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Grooming Kit,,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Hair Curler,,,,default,,,,,,1,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Hair Dryer,,,,default,,,,,,1,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Hair Straightner,,,,default,,,,,,1,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Healthcare appliance,,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Massager,,,,default,,,,,,1,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Others,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Personal care appliances,Smart Watch,,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's 3/4ths,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Ethnic wear,Blazer/ Coat,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Ethnic wear,Indo Western Suit,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Ethnic wear,Kurta Pyjama,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Boy's Ethnic wear,Others,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
