Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Communication,Smart Phones (OS Based),Blackberry Phones,0,E,NA/Un-used/Used,NA,NA/No Damage/No Dent/No Scratches/No Body Damage/No Body Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Body Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Minor Body Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches/Major Body Damage/Major Body Scratches,Seal Pack/Packaging Yes/Open Good/Open Damage/Packaging No,NA/Yes/No
Communication,Phones Mobile,Dual Sim Phones,,,,,,,
Communication,Phones Mobile,Basic Phones,,,,,,,
Communication,Smart Phones (OS Based),Symbian Phones,,,,,,,
Communication,Smart Phones (OS Based),Mass Premium Phones,,,,,,,
Communication,Phones Mobile,Mobiles CDMA - Non Premium,,,,,,,
Entertainment,TV LCD,"LCD TFT 19-20""",,,,,,,
Entertainment,TV LCD,"LCD TFT 26""",,,,,,,
Entertainment,TV LCD,"LCD TFT 22""",,,,,,,
Entertainment,TV LCD,"LCD TFT 32""",,,,,,,
Entertainment,TV LCD,"LCD TFT 40-42""",,,,,,,
Entertainment,TV LCD,"LCD TFT 37""",,,,,,,
Entertainment,TV LCD,LCD Wall Mount Stand,,,,,,,
Entertainment,TV CRT,CRT Conventional,,,,,,,
Entertainment,TV CRT,"CRT Flat - 15""",,,,,,,
Entertainment,TV CRT,"CRT Flat - 21""",,,,,,,
Entertainment,TV CRT,"CRT Flat - 25""",,,,,,,
Entertainment,TV CRT,"CRT Flat - 29""",,,,,,,
Entertainment,TV Plasma,"Plasma 50""",,,,,,,
Entertainment,TV Plasma,"Plasma 42""",,,,,,,
Entertainment,TV Plasma,"Plasma 65""",,,,,,,
Entertainment,TV Plasma,Plasma Wall Mount Stand,,,,,,,
Computers Peripherals,Dummy Laptop / Netbook / Tabs,Tablet-D,,,,,,,
Computers Peripherals,Mobile Computing,Apple,,,,,,,
Computers Peripherals,Mobile Computing,Computer Carry Bags,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets & Detachables - D,,,,,,,
Imaging,Digital Cameras,Photo Printers,,,,,,,
Computers Peripherals,Mobile Computing,Entry Consignment,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Mainstream,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Premium,,,,,,,
Imaging,DSLR Cameras,DSLR Mid Range-D,,,,,,,
Computers Peripherals,Desktops,PC Desktop - iMACs,,,,,,,
Computers Peripherals,Mobile Computing,Apple - D,,,,,,,
Entertainment,TV LCD,"LCD TFT 46-47""",,,,,,,
Computers Peripherals,Desktops,PC Monitors,,,,,,,
Communication,Phones Mobile,Demo Mobiles,,,,,,,
Communication,Phones Mobile,Mobiles CDMA - Premium,,,,,,,
Entertainment,TV LCD,LCD Accessories_H,,,,,,,
Entertainment,TV LCD,LED Wall Mounting Accessories,,,,,,,
Entertainment,TV LCD,"LCD TFT 52"" AND ABOVE",,,,,,,
Entertainment,TV LCD,"LED Panels 32""",,,,,,,
Entertainment,TV LCD,"LED Panels 40""",,,,,,,
Entertainment,TV LCD,"LED Panels 46""",,,,,,,
Entertainment,TV LCD,"LED Panels 55""",,,,,,,
Imaging,Digital Cameras,Advanced Cameras,,,,,,,
Imaging,Digital Cameras,Basic Cameras,,,,,,,
Imaging,Digital Cameras,Prosumer Cameras,,,,,,,
Imaging,Digital Cameras,DSLR Cameras,,,,,,,
Imaging,DSLR Cameras,DSLR Mid Range,,,,,,,
Imaging,DSLR Cameras,DSLR Entry Level-D,,,,,,,
Imaging,Camcorders,Camcorders - HDD,,,,,,,
Imaging,Camcorders,Camcorders - HD,,,,,,,
Imaging,Camcorders,Camcorders - Flash Memory,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Net Top,,,,,,,
Computers Peripherals,Mobile Computing,Gaming-Laptops,,,,,,,
Computers Peripherals,Dummy Laptop / Netbook / Tabs,Desktop-D,,,,,,,
Computers Peripherals,Mobile Computing,2in1-D,,,,,,,
Computers Peripherals,Mobile Computing,Premium-D,,,,,,,
Computers Peripherals,Monitors,"Monitors - TFT 19""",,,,,,,
Computers Peripherals,Tablets & Detachables,E-Reader,,,,,,,
Computers Peripherals,Monitors,"Monitors - TFT 22""",,,,,,,
Computers Peripherals,Monitors,"Monitors - TFT 24""",,,,,,,
Computers Peripherals,Monitors,Monitors - Specials,,,,,,,
Imaging,DSLR Cameras,Full Frame & Mirrorless-D,,,,,,,
Computers Peripherals,Desktops,PC Desktop-iMACs-D,,,,,,,
Computers Peripherals,Desktops,PC CPU,,,,,,,
Imaging,DSLR Cameras,DSLR High End-D,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream-D,,,,,,,
Computers Peripherals,Mobile Computing,Entry-D,,,,,,,
Computers Peripherals,Monitors,Monitors - CRT,,,,,,,
Entertainment,TV CRT,"CRT FLAT - 14""",,,,,,,
Communication,Smart Phones (OS Based),Android Phones D,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Premium,,,,,,,
Computers Peripherals,Mobile Computing,Touch,,,,,,,
Communication,Brand Free Mobiles,Brand Free Mobiles,,,,,,,
Communication,Smart Phones (OS Based),I phones,,,,,,,
Entertainment,TV LCD,"LED Panels 22""",,,,,,,
Entertainment,TV LCD,"LED Panels 26""",,,,,,,
Computers Peripherals,Tablets & Detachables,Detachable Accessories,,,,,,,
Communication,Phones Mobile,Apple I-Phone,,,,,,,
Entertainment,TV LCD,"LCD TFT 24""",,,,,,,
Communication,Smart Phones (OS Based),ExWty - Smart Phones,,,,,,,
Communication,Phones Mobile,ExWty - Basic Mobile Phones,,,,,,,
Entertainment,TV LCD,ExWty- TV LCD,,,,,,,
Imaging,Digital Cameras,ExWty- Digital Cameras,,,,,,,
Computers Peripherals,Desktops,ExWty- Desktops,,,,,,,
Computers Peripherals,Mobile Computing,ExWty- Mobile Computing,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Mid,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Entry,,,,,,,
Communication,Smart Phones (OS Based),Other OS,,,,,,,
Imaging,DSLR Cameras,DSLR High End,,,,,,,
Imaging,DSLR Cameras,Full Frame & Mirrorless,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablet Accessories,,,,,,,
Entertainment,TV LCD,LED Panels 24 INCH,,,,,,,
Communication,Smart Phones (OS Based),Demo Mobile Phone,,,,,,,
Imaging,DSLR Cameras,DSLR Entry Level,,,,,,,
Imaging,Digital Cameras,PL Cameras,,,,,,,
Entertainment,Dummy ENT LCD / LED / Plasma,Dummies LCD / LED / Plasma,,,,,,,
Computers Peripherals,Dummy Laptop / Netbook / Tabs,Notebook -D,,,,,,,
Computers Peripherals,Mobile Computing,Entry Level Laptops,,,,,,,
Computers Peripherals,Mobile Computing,Premium,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Premium Consignment,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablet Freebies,,,,,,,
Computers Peripherals,Tablets & Detachables,E-Reader Accessories,,,,,,,
Computers Peripherals,Mobile Computing,Gaming Consignment,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin,,,,,,,
Communication,Phones Mobile,Dual Sim Phones D,,,,,,,
Entertainment,TV LCD,"LED Panels 65""+",,,,,,,
Computers Peripherals,Mobile Computing,2-in-1,,,,,,,
Computers Peripherals,Mobile Computing,Ultra Thin D,,,,,,,
Computers Peripherals,Tablets & Detachables,Detachables,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream,,,,,,,
Computers Peripherals,Mobile Computing,2 in 1 Consignment,,,,,,,
Computers Peripherals,Desktops,Dell Desktop SNS,,,,,,,
Communication,Smart Phones (OS Based),Other OS D,,,,,,,
Entertainment,TV LCD,"LED Panels 40""",,,,,,,
Computers Peripherals,Tablets & Detachables,E-Reader,,,,,,,
Entertainment,TV LCD,"LED Panels 55""",,,,,,,
Computers Peripherals,Desktops,PC Desktop - Entry,,,,,,,
Communication,Smart Phones (OS Based),Android Phones,,,,,,,
Communication,Phones Mobile,Multimedia Phones,,,,,,,
Communication,Smart Phones (OS Based),Windows Phones,,,,,,,
Communication,Smart Phones (OS Based),Blackberry Phones,,,,,,,
Communication,Phones Mobile,Dual Sim Phones,,,,,,,
Communication,Phones Mobile,Basic Phones,,,,,,,
Communication,Smart Phones (OS Based),Symbian Phones,,,,,,,
Communication,Phones Mobile,Mobiles CDMA - Non Premium,,,,,,,
Entertainment,TV LCD,"LCD TFT 19-20""",,,,,,,
Entertainment,TV LCD,"LCD TFT 26""",,,,,,,
Entertainment,TV LCD,"LCD TFT 22""",,,,,,,
Entertainment,TV LCD,"LCD TFT 32""",,,,,,,
Entertainment,TV LCD,"LCD TFT 40-42""",,,,,,,
Entertainment,TV LCD,"LCD TFT 37""",,,,,,,
Entertainment,TV LCD,LCD Wall Mount Stand,,,,,,,
Entertainment,TV CRT,CRT Conventional,,,,,,,
Entertainment,TV CRT,"CRT Flat - 15""",,,,,,,
Entertainment,TV CRT,"CRT Flat - 21""",,,,,,,
Entertainment,TV CRT,"CRT Flat - 25""",,,,,,,
Entertainment,TV CRT,"CRT Flat - 29""",,,,,,,
Entertainment,TV Plasma,"Plasma 50""",,,,,,,
Entertainment,TV Plasma,"Plasma 42""",,,,,,,
Entertainment,TV Plasma,"Plasma 65""",,,,,,,
Entertainment,TV Plasma,Plasma Wall Mount Stand,,,,,,,
Computers Peripherals,Mobile Computing,Apple,,,,,,,
Computers Peripherals,Mobile Computing,Computer Carry Bags,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets & Detachables - D,,,,,,,
Imaging,Digital Cameras,Photo Printers,,,,,,,
Computers Peripherals,Mobile Computing,Entry Consignment,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Mainstream,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Premium,,,,,,,
Imaging,DSLR Cameras,DSLR Mid Range-D,,,,,,,
Computers Peripherals,Desktops,PC Desktop - iMACs,,,,,,,
Computers Peripherals,Mobile Computing,Apple - D,,,,,,,
Entertainment,TV LCD,"LCD TFT 46-47""",,,,,,,
Computers Peripherals,Desktops,PC Monitors,,,,,,,
Communication,Phones Mobile,Demo Mobiles,,,,,,,
Communication,Phones Mobile,Mobiles CDMA - Premium,,,,,,,
Entertainment,TV LCD,LCD Accessories_H,,,,,,,
Entertainment,TV LCD,LED Wall Mounting Accessories,,,,,,,
Entertainment,TV LCD,"LCD TFT 52"" AND ABOVE",,,,,,,
Entertainment,TV LCD,"LED Panels 32""",,,,,,,
Entertainment,TV LCD,"LED Panels 40""",,,,,,,
Entertainment,TV LCD,"LED Panels 46""",,,,,,,
Entertainment,TV LCD,"LED Panels 55""",,,,,,,
Imaging,Digital Cameras,Advanced Cameras,,,,,,,
Imaging,Digital Cameras,Basic Cameras,,,,,,,
Imaging,Digital Cameras,Prosumer Cameras,,,,,,,
Imaging,Digital Cameras,DSLR Cameras,,,,,,,
Imaging,DSLR Cameras,DSLR Mid Range,,,,,,,
Imaging,DSLR Cameras,DSLR Entry Level-D,,,,,,,
Imaging,Camcorders,Camcorders - HDD,,,,,,,
Imaging,Camcorders,Camcorders - HD,,,,,,,
Imaging,Camcorders,Camcorders - Flash Memory,,,,,,,
Computers Peripherals,Mobile Computing,2in1-D,,,,,,,
Computers Peripherals,Mobile Computing,Premium-D,,,,,,,
Computers Peripherals,Monitors,"Monitors - TFT 19""",,,,,,,
Computers Peripherals,Monitors,"Monitors - 22""",,,,,,,
Computers Peripherals,Monitors,"Monitors - 24""",,,,,,,
Computers Peripherals,Monitors,Gaming Monitors,,,,,,,
Imaging,DSLR Cameras,Full Frame & Mirrorless-D,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Net Top,,,,,,,
Computers Peripherals,Desktops,PC Desktop-iMACs-D,,,,,,,
Imaging,DSLR Cameras,DSLR High End-D,,,,,,,
Computers Peripherals,Mobile Computing,Mainstream-D,,,,,,,
Computers Peripherals,Mobile Computing,Entry-D,,,,,,,
Computers Peripherals,Monitors,"Monitors - 27"" & Above",,,,,,,
Entertainment,TV CRT,"CRT FLAT - 14""",,,,,,,
Communication,Smart Phones (OS Based),Android Phones D,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Premium,,,,,,,
Computers Peripherals,Mobile Computing,Touch,,,,,,,
Computers Peripherals,Mobile Computing,Gaming-Laptops,,,,,,,
Communication,Brand Free Mobiles,Brand Free Mobiles,,,,,,,
Communication,Smart Phones (OS Based),I phones,,,,,,,
Entertainment,TV LCD,"LED Panels 22""",,,,,,,
Entertainment,TV LCD,"LED Panels 26""",,,,,,,
Computers Peripherals,Tablets & Detachables,Tablet Accessories,,,,,,,
Computers Peripherals,Tablets & Detachables,iPad Accessories,,,,,,,
Communication,Phones Mobile,Apple I-Phone,,,,,,,
Entertainment,TV LCD,"LCD TFT 24""",,,,,,,
Communication,Smart Phones (OS Based),ExWty - Smart Phones,,,,,,,
Communication,Phones Mobile,ExWty - Basic Mobile Phones,,,,,,,
Entertainment,TV LCD,ExWty- TV LCD,,,,,,,
Imaging,Digital Cameras,ExWty- Digital Cameras,,,,,,,
Computers Peripherals,Desktops,ExWty- Desktops,,,,,,,
Computers Peripherals,Mobile Computing,ExWty- Mobile Computing,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Mid,,,,,,,
Computers Peripherals,Tablets & Detachables,Tablets - Entry,,,,,,,
Computers Peripherals,Tablets & Detachables,E-Reader Accessories,,,,,,,
Communication,Smart Phones (OS Based),Other OS,,,,,,,
Imaging,DSLR Cameras,DSLR High End,,,,,,,
Imaging,DSLR Cameras,Full Frame & Mirrorless,,,,,,,
Entertainment,TV LCD,LED Panels 24 INCH,,,,,,,
Communication,Smart Phones (OS Based),Demo Mobile Phone,,,,,,,
Imaging,DSLR Cameras,DSLR Entry Level,,,,,,,
Imaging,Digital Cameras,PL Cameras,,,,,,,
Entertainment,Dummy ENT LCD / LED / Plasma,Dummies LCD / LED / Plasma,,,,,,,
Computers Peripherals,Dummy Laptop / Netbook / Tabs,Notebook -D,,,,,,,
