Client Category L1,Client Category L2,Client Category L3,Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Bmaxx Parent,Bmaxx Child
Computers Peripherals,Mobile Computing,ExWty- Mobile Computing,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,Tablets - Mid,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,Tablets - Entry,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Other OS,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Imaging,DSLR Cameras,DSLR High End,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,LED Panels 24 INCH,Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Demo Mobile Phone,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Imaging,DSLR Cameras,DSLR Entry Level,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,PL Cameras,Electronics and Appliances,Home Appliances,Digital Camera,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Entry Level Laptops,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Premium,Others,,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Mainstream Consignment,Others,,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Ultra Thin Consignment,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Premium Consignment,Others,,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Gaming Consignment,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Ultra Thin,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Dual Sim Phones D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LED Panels 65""+",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,2-in-1,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,Detachables,Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Others,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,Mainstream,Others,,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,2 in 1 Consignment,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,Dell Desktop SNS,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Other OS D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Laptops,Entry Gaming,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,"Monitors - 22""",IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,"Monitors - 24""",IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,Gaming Monitors,IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,"Monitors - 27"" & Above",IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,iPad Accessories,Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Others,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Laptops,Mainstream Gaming,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Laptops,Pro Gaming,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Windows Phone - D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Smartwatch,Electronics and Appliances,Personal care appliances,Smart Watch,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,ACER -NOTEBOOKS-CONS,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),I phones D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Ins - Smart Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,ExWty-Tablets,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,DELL-TABS-CONS,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Computers Peripherals,PC Accessories,DELL-ATTACHMENTS-CONS,IT,Desktop and Laptop,Accessories Desktop and Laptop,Others,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Lifestyle,Others,,,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Fitness Bands,Electronics and Appliances,Personal care appliances,Activity Tracker,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Fitness Bands - D,Electronics and Appliances,Personal care appliances,Activity Tracker,,,,Mobiles and Tablets,Mobile
Communication,Phones Mobile,Basic Phones D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Phablets D,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Phablets,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
