Category (L2),Grade,Disposition,Return Reason,Brand
Health & Personal Care,,,,TECNO
Health & Personal Care,,,,Viomi
Ovens & Cookers,,,,others
Health & Personal Care,,,,ZHIYUN
Projectors,,,,DRAV
Connected Homes & Housewares,,,,Viacom
Connected Homes & Housewares,,,,Cosmic Byte
Projectors,,,,Atomberg
Power,,,,Strontium
,,,,Skagen
PC Accessories,,,,CARRERA
PC Accessories,,,,No Spec
Travel Accessories,,,,Carlton
PC Accessories,,,,Blue Air
Phones Mobile Accessories,,,,COROS
Phones Mobile Accessories,,,,Cangaroo
Phones Mobile Accessories,,,,JK PAPERS
Phones Mobile Accessories,,,,APPENDAGE
Entertainment Accessories,,,,RAEGR
Entertainment Accessories,,,,Reliance
Entertainment Accessories,,,,RHA
Entertainment Accessories,,,,Kodak Tv
Entertainment Accessories,,,,Croma-Veira
Entertainment Accessories,,,,Alesis
Entertainment Accessories,,,,Honeywell
Entertainment Accessories,,,,Ultra Prolink
Entertainment Accessories,,,,RoadGods
Entertainment Accessories,,,,Carnot
Toys,,,,ANT AUDIO
Toys,,,,Spherehot
Toys,,,,The Souled Store
MP3 Accessories,,,,Scosche
MP3 Accessories,,,,Profigold
Travel Accessories,,,,Carl Zeiss
Imaging Accessories,,,,Wildcraft
Imaging Accessories,,,,Back-Brainers
Imaging Accessories,,,,Viaggi
Networking,,,,Tata
Gaming Hardware,,,,G-RAZER
Input Devices,,,,Xeuce
Input Devices,,,,NutriBullet
Input Devices,,,,MEALTHY
Networking,,,,Gamdias
Gaming Hardware,,,,Scrik
Gaming Hardware,,,,MuveAcoustics
Gaming Software,,,,One Plus
Entertainment Accessories,,,,Konix
MP3 Accessories,,,,SVARAS
Networking,,,,Emotix
Storage Media,,,,UAG
Earphones/Headphones,,,,Halonix
Earphones/Headphones,,,,ARU
Earphones/Headphones,,,,Ariel
Earphones/Headphones,,,,PureSight
Earphones/Headphones,,,,XGIMI
Earphones/Headphones,,,,Ultra
Travel Accessories,,,,Ricoh
Travel Accessories,,,,Anchor
Travel Accessories,,,,FINISH
Gaming Hardware,,,,Equator Appliances
PC Gaming,,,,American Tourister
Gaming Hardware,,,,Yale
Gaming Hardware,,,,Activision
Gaming Hardware,,,,Eurodomo
Gaming Hardware,,,,Kinetic UV Warrior
Gaming Hardware,,,,STYX Neo
Gaming Software,,,,Ahha
Camcorders,,,,Kotion
PC Accessories,,,,CABEAU
PC Accessories,,,,Wacom
Networking,,,,STORME
Earphones/Headphones,,,,ANKER
Phones Mobile Accessories,,,,Tally
Earphones/Headphones,,,,Lowerpro
Phones Mobile Accessories,,,,Mypurmist
Phones Mobile Accessories,,,,Private Label
PC Accessories,,,,Dr. TRUST
Imaging Accessories,,,,Vu
Tablets & Detachables,,,,Servify
Gaming Hardware,,,,Enter
Phones Mobile Accessories,,,,Hestia
Imaging Accessories,,,,Saramonic
Gaming Hardware,,,,JVC
Batteries,,,,ACOOSTA
Imaging Accessories,,,,Kuber Industries
E-Readers,,,,Egate
Entertainment Accessories,,,,Hero Lectro
Phones Mobile Accessories,,,,AO Smith
PC Accessories,,,,Casio
Peripherals,,,,
Storage Media,,,,
Phones Mobile Accessories,,,,
E-Readers,,,,
Storage Media,,,,
DSLR Cameras,,,,
Tablets & Detachables,,,,
Batteries,,,,
Batteries,,,,
Batteries,,,,
Earphones/Headphones,,,,
Travel Accessories,,,,
Dummy Gaming Hardware,,,,
Batteries,,,,
Tablets & Detachables,,,,
Tablets & Detachables,,,,
Phones Mobile Accessories,,,,
Earphones/Headphones,,,,
Earphones/Headphones,,,,
PC Accessories,,,,
Networking,,,,
Gaming Hardware,,,,
Storage Media,,,,
PC Accessories,,,,
MP3 Accessories,,,,
Entertainment Accessories,,,,
Phones Mobile Accessories,,,,
Entertainment Accessories,,,,
Earphones/Headphones,,,,
Travel Accessories,,,,
Travel Accessories,,,,
Imaging Accessories,,,,
Phones Mobile Accessories,,,,
Earphones/Headphones,,,,
Imaging Accessories,,,,
Gaming Software,,,,
Printers & Office Solutions,,,,
Earphones/Headphones,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Gaming Consoles and Accessories,,,,
Earphones/Headphones,,,,
Gaming Consoles and Accessories,,,,
Earphones/Headphones,,,,
E-Readers,,,,
PC Accessories,,,,
PC Accessories,,,,
Networking,,,,
,,,,
Phones Mobile Accessories,,,,
Phones Mobile Accessories,,,,
Phones Mobile Accessories,,,,
CD Hindi,,,,
CD International,,,,
Navigation Systems,,,,
Mounts & Stands,,,,
Mounts & Stands,,,,
Mounts & Stands,,,,
PC Gaming,,,,
Gaming Software,,,,
Gaming Software,,,,
Gaming Software,,,,
Gaming Software,,,,
Toys,,,,
Gaming Hardware,,,,
Toys,,,,
Imaging Accessories,,,,
Dummy Laptop / Netbook / Tabs,,,,
Computer Bags,,,,
Mobile Computing,,,,
Computer Bags,,,,
Printers & Office Solutions,,,,
Printers & Office Solutions,,,,
Software,,,,
Computer Consignments,,,,
DSLR Cameras,,,,
Mobile Computing,,,,
CD Hindi,,,,
CD Hindi,,,,
DVD Bollywood,,,,
DVD Hollywood,,,,
DVD Hollywood,,,,
DVD Hollywood,,,,
DVD Regional,,,,
DVD/VCD/Content,,,,
DVD/VCD/Content,,,,
DVD/VCD/Content,,,,
Imaging Accessories,,,,
DSLR Cameras,,,,
VCD Bollywood,,,,
VCD Hollywood,,,,
VCD Hollywood,,,,
VCD Hollywood,,,,
VCD Regional,,,,
Dummy Laptop / Netbook / Tabs,,,,
Mobile Computing,,,,
Mobile Computing,,,,
Software,,,,
CD Classical,,,,
DSLR Cameras,,,,
Imaging Accessories,,,,
DVD/VCD/Content,,,,
DSLR Cameras,,,,
Mobile Computing,,,,
Computer Bags,,,,
Mobile Computing,,,,
DVD Hollywood,,,,
VCD Bollywood,,,,
DVD/VCD/Content,,,,
DVD Bollywood,,,,
Printers & Office Solutions,,,,
Computer Consignments,,,,
Navigation Systems,,,,
DVD Hollywood,,,,
Computer Consignments,,,,
Software,,,,
CD International,,,,
VCD Regional,,,,
DVD Television,,,,
CD Devotional,,,,
Phones Mobile Providers,,,,
DVD/VCD/Content,,,,
Free Gifts,,,,
Books,,,,
Computer Bags,,,,
Other Charges,,,,
Other Charges,,,,
Other Charges,,,,
Other Charges,,,,
DVD/VCD/Content,,,,
Free Gifts,,,,
Free Gifts,,,,
Free Gifts,,,,
Free Gifts,,,,
Free Gifts,,,,
Free Gifts,,,,
Free Gifts,,,,
Free Gifts,,,,
Gift Card,,,,
Spares,,,,
Spares,,,,
Spares,,,,
Other Charges,,,,
Other Charges,,,,
ECharge,,,,
Simcard,,,,
Spares,,,,
Shop in Shop,,,,
Free Gifts,,,,
Spares,,,,
Shop in Shop,,,,
Shop in Shop,,,,
