Vendor Name,Vendor Code,Location,Vendor Type,E-waste certified,Contracted
Vinayak Mobile,vinay9,,B2B,No,No
Technomate Computers,tech9,,B2B,No,No
Shivshambho Mobile Shopee,shivsh,,B2B,No,No
Dinesh Kumar Vaswani,dinesh,,B2B,No,No
New Fashion World,newfa,,B2B,No,No
Jai  Mata  Di  Electronics Homeappliances,jaima2,,B2B,No,No
Tanumoy Chowdhury,tanumo,,B2B,No,No
Mimo,mimom,,B2B,No,No
Orintal Computers,orcomp,,B2B,No,No
D.P Infotech Enterprises,mohd_sami,,B2B,No,No
New Eckoelectronics,newec,,B2B,No,No
Adorn Traders,adron,,B2B,No,No
Sun Computer,sunput,,B2B,No,No
Maa Enterprises,maaeter,,B2B,No,No
I Pro Infotech,iproin,,B2B,No,No
Rk Computer Technologies,rkcot,,B2B,No,No
Trade Lane,tradelan,,B2B,No,No
A To Z Telecom,atozte,,B2B,No,No
Jagad Jatre,jagja,,B2B,No,No
Om Computer,omcpt,,B2B,No,No
A T Group,atgro,,B2B,No,No
Core Tech It Solution,parveen,,B2B,No,No
Coretech Info,muneer,,B2B,No,No
R Tech Computer,rtech,,B2B,No,No
Budli Internet Pvt Ltd,budli,,B2B,No,No
G S Enterprises,gsente,,B2B,No,No
Akshara Electronic,amaresh,,B2B,No,No
Suryajyoti Sales And Services,suryajy,,B2B,No,No
R K Enterprises,rkente,,B2B,No,No
Laptop Shopee,lapshop,,B2B,No,No
Laptop Store,latptod,,B2B,No,No
Adinath Mobile Point,adimo,,B2B,No,No
Vogo Automotive Private Limited,vogoau,,B2B,No,No
G Communication,gcomm,,B2B,No,No
Apple Enterprises,shaik,,B2B,No,No
M/S Jawahar Watch Company,jawco,,B2B,No,No
Jain Computers,jaincomputers,,B2B,No,No
M And S Mens Studio,masme,,B2B,No,No
It Support Technology,itsup,,B2B,No,No
Earthbox Ventures Private Limited,earve,,B2B,No,No
Adhi Mobile Accessories,adhimob,,B2B,No,No
Laxmi And Sons Enterprises,laxas,,B2B,No,No
Sai Enterprises,saietp,,B2B,No,No
Solanki Mobile Shop,solan,,B2B,No,No
Manjit Telecommunication,manji,,B2B,No,No
Vijaydeep Collection,vijayd,,B2B,No,No
M/S The Mobile Hub,thmobh,,B2B,No,No
Verum Associates And Impex,verum,,B2B,No,No
Silicon Computer Shoppee,silicos,,B2B,No,No
Venus  It Solutions,venui,,B2B,No,No
Igrotech,igrot,,B2B,No,No
Mahi Trading Company,shahid_iqbal,,B2B,No,No
Digilog System,diglo,,B2B,No,No
Pooja Technosoft,poote,,B2B,No,No
In Tech Computers,intech,,B2B,No,No
New Royal Optical And Watches,newro,,B2B,No,No
Siddhivinayak Computer,sidcom,,B2B,No,No
Net Computer Sales Services &,ncsas,,B2B,No,No
Sun Computer,sunco,,B2B,No,No
Madhav Infosolutions,madhi,,B2B,No,No
Classic Mobile,clasmo,,B2B,No,No
The Mobile Store Arnav Telecom,thmar,,B2B,No,No
Mobi World,mobld,,B2B,No,No
Nit Computer,nitpu,,B2B,No,No
Laxmi Mobile Centre,mahipalraj,,B2B,No,No
S R Trading Company,srtra,,B2B,No,No
Shade Infosystems,shade,,B2B,No,No
Lahoti Enterprises,lahent,,B2B,No,No
Pranita Enterprises,praent,,B2B,No,No
Apek Computer Solution,apekcom,,B2B,No,No
M/S Garg X Computers,garg,,B2B,No,No
Integrated Technologies,intts,,B2B,No,No
Gayatri Computers & Stationery / Cartirdge Store,gaycom,,B2B,No,No
Cmos System,cmosys,,B2B,No,No
Bijason Infotech Private Limited,bijinfo,,B2B,No,No
Manoj Mobiles,manmos,,B2B,No,No
M S Soundarya Sansar Paradise Collections,sousan,,B2B,No,No
Deva Ratan Info,devar,,B2B,No,No
Shop Your Gadgets,shopga,,B2B,No,No
Impression Footwear,impfoot,,B2B,No,No
Prompt Computer Services,prompt,,B2B,No,No
Maa Vaishno Communication,maavi,,B2B,No,No
Sun Books And Stationary,sunbooks,,B2B,No,No
Ujwala Computers,ujwal,,B2B,No,No
Brand Hub,brandhub,,B2B,No,No
Rajeev,rajee,,B2B,No,No
M/S Forever Mobile Hub,formob,,B2B,No,No
Shayona Mobile Gallery,shaymo,,B2B,No,No
Annapurna Computers,annap,,B2B,No,No
Saffron Fashion Hub,saffron,,B2B,No,No
Krati Infocom,krain,,B2B,No,No
Spice Communication,spice,,B2B,No,No
Satveer Singh Meel,satvee,,B2B,No,No
Shihabi Computers,shico,,B2B,No,No
Music Point,music,,B2B,No,No
Cost To Cost,cosso,,B2B,No,No
Mahadev Plywood,mahadev,,B2B,No,No
Surabhi Computers,surab,,B2B,No,No
Honey Stores,honey,,B2B,No,No
Momay It Hub,momay,,B2B,No,No
Dev Laptop  And  Mobile Hub,devla,,B2B,No,No
D M Group,dmgro,,B2B,No,No
A C Mobile,acmob,,B2B,No,No
Babu,malik_babu,,B2B,No,No
D K Communication,dkcon,,B2B,No,No
Platinum Peripherals,plaper,,B2B,No,No
A.M Power Tools,abdulr,,B2B,No,No
Delite Infotech,delitei,,B2B,No,No
Electro Junxtion,elect,,B2B,No,No
Ramkrup Compucare,ramku,,B2B,No,No
Shri S.S.D. Mobile,ssdmob,,B2B,No,No
Siddhagiri Computer,siddi,,B2B,No,No
Ubreakvfix,ubrea,,B2B,No,No
Malnad Enterprises,malna,,B2B,No,No
Dummay 123,Dummy123,,B2B,No,No
N Tech Solution,ntech,,B2B,No,No
New Multitasking,newmu,,B2B,No,No
P.C Tek Computers,pctek,,B2B,No,No
Techno Vision Security Soluction,tecsc,,B2B,No,No
Care Well Medicos,carew,,B2B,No,No
Gokul Computer,gokul,,B2B,No,No
Saregama Music Planet,sareg,,B2B,No,No
Digital Care,digica,,B2B,No,No
Anant Stores,anats,,B2B,No,No
Splash Mobile,splash,,B2B,No,No
Hgr Mega Discount Mart,hgrmegadiscountmart,,B2B,No,No
Jain & Sons,jains,,B2B,No,No
Moments Super Shape,moments,,B2B,No,No
Oswal Appliances,osapp,,B2B,No,No
Guru Mobile Point,gurumo,,B2B,No,No
Mayank Communication,mayaco,,B2B,No,No
Pc Laptop Care,pclat,,B2B,No,No
S K Traders,sktra,,B2B,No,No
Mr Mobile Mall,mrmob,,B2B,No,No
Shri Computing,shrio,,B2B,No,No
Baba Mobile Care,babamo,,B2B,No,No
Prince Infotech,prininfo,,B2B,No,No
World Infotech,worin,,B2B,No,No
Faizi Computers,faizi,,B2B,No,No
Ml~ S Mobile Show Room,mlmob,,B2B,No,No
Bandhan Sales And Services,bandh,,B2B,No,No
Steel Babosa Computers,babosa,,B2B,No,No
Gadgetzone,gadzone,,B2B,No,No
Sajjan,sajjan,,B2B,No,No
Pawan Kumar C,pawan,,B2B,No,No
Imtiyaz Automobiles,imtiyaz,,B2B,No,No
Yuva Communication,yuvac,,B2B,No,No
A S Infotect,asinfo,,B2B,No,No
Bombay Mobiles,bommob,,B2B,No,No
Ankit Vision,ankiv,,B2B,No,No
Vision Systems,vissys,,B2B,No,No
New A One Communication,newao,,B2B,No,No
Grace Enterprises,gracen,,B2B,No,No
Abhishek Daaga,abhishek,,B2B,No,No
Zs Enterprises,zsenter,,B2B,No,No
Saifee Mobile,saifee,,B2B,No,No
Madhu Infotech India Pvt Ltd,madhuinfotech,,B2B,No,No
Sri Sai One Shop,saione,,B2B,No,No
Sahara Collection,sahar,,B2B,No,No
It Net Solutions,itnet,,B2B,No,No
Hiddenstroke Films,hidde,,B2B,No,No
Durgeah Singh ,durgesh,,B2B,No,No
Aditya Collection,aditc,,B2B,No,No
Mobile Moovers Inc,mobile,,B2B,No,No
New Sawan Mobi Shopee,sawan,,B2B,No,No
Sabir Hussain,sabir,,B2B,No,No
M.A. Furnitures,abid1,,B2B,No,No
Datrics Infotech,datrics,,B2B,No,No
Gururaj Telecom,gururaj,,B2B,No,No
Kl Sharma Bartan Bhandar,varuns,,B2B,No,No
Pintu Bhattacharjee,pintu,,B2B,No,No
Zankar Fashion,sampat,,B2B,No,No
Bachal Electronics,bachal,,B2B,No,No
Anshu Mobile,anshu,,B2B,No,No
Parvinder Singh,parvinder,,B2B,No,No
Amil Enterprise,amile,,B2B,No,No
 Justdispose Recycling Pvt.Ltd.,justdispose,,B2B,No,No
Sagar Sales Agency,sagag,,B2B,No,No
Shivsagar Silk Mills,inder,,B2B,No,No
M R Infotech,mrith,,B2B,No,No
Jai Hari Computer And Mobile Shopee,jaihari,,B2B,No,No
Pixel Technology,akshath,,B2B,No,No
Mr Traders,mrtrade,,B2B,No,No
Bhagwan And Sons,bhagw,,B2B,No,No
Patna Antivirus Point,patan,,B2B,No,No
The Photo Express,theph,,B2B,No,No
Dhani Electronics,dhane,,B2B,No,No
Disycom Computers,disyc,,B2B,No,No
I Pro Infotech,iprot,,B2B,No,No
Afi Teleservices,afite,,B2B,No,No
Rajendra,rajendraarora1001,,B2B,No,No
Dressy,abdulkh,,B2B,No,No
About Time Enterprise ,abouttime,,B2B,No,No
Durga Computer,durgc,,B2B,No,No
Star Laptops And Systems,starlaptops,,B2B,No,No
Dharm Enterprise,dharmen,,B2B,No,No
Degno Systems & Services,degno,,B2B,No,No
Reset Systems,reset,,B2B,No,No
Systems N Computer,sycom,,B2B,No,No
Ameen Communication,ameen,,B2B,No,No
Humble Mobile Solutions Private Limited ,humble,,B2B,No,No
Bangalore Traders,traders,,B2B,No,No
Meesh Games And Electronics,meesh,,B2B,No,No
Headway Technology,headway,,B2B,No,No
Click Technologies,clickt,,B2B,No,No
Krupa Computer Solutions,krupa,,B2B,No,No
Computer Mart,compm,,B2B,No,No
Classic Novelties,novelties,,B2B,No,No
Cool And Comfort,comcool,,B2B,No,No
Empire Scrap Traders,empire,,B2B,No,No
D K Computers,dkcom,,B2B,No,No
Shoe City,shoecity,,B2B,No,No
Hitesh Enterprises,hitesh1,,B2B,No,No
